Date/time,Anemometer;wind_speed;Avg,Anemometer;wind_speed;Max,Anemometer;wind_speed;Min,Anemometer;wind_speed;StdDev,Anemometer;wind_speed;Count,Wind Vane;wind_direction;Avg,Wind Vane;wind_direction;StdDev,Wind Vane;wind_direction;Count,Hygro/Thermo;humidity;Avg,Hygro/Thermo;humidity;Max,Hygro/Thermo;humidity;Min,Hygro/Thermo;humidity;StdDev,Hygro/Thermo;humidity;Count,Hygro/Thermo;temperature;Avg,Hygro/Thermo;temperature;Max,Hygro/Thermo;temperature;Min,Hygro/Thermo;temperature;StdDev,Hygro/Thermo;temperature;Count,Barometer;air_pressure;Avg,Barometer;air_pressure;Max,Barometer;air_pressure;Min,Barometer;air_pressure;StdDev,Barometer;air_pressure;Count,Pyranometer-Diffused;solar_irradiance;Avg,Pyranometer-Diffused;solar_irradiance;Max,Pyranometer-Diffused;solar_irradiance;Min,Pyranometer-Diffused;solar_irradiance;StdDev,Pyranometer-Diffused;solar_irradiance;Count,Pyranometer-Global;solar_irradiance;Avg,Pyranometer-Global;solar_irradiance;Max,Pyranometer-Global;solar_irradiance;Min,Pyranometer-Global;solar_irradiance;StdDev,Pyranometer-Global;solar_irradiance;Count,Silicon;voltage;Avg,Silicon;voltage;Max,Silicon;voltage;Min,Silicon;voltage;StdDev,Silicon;voltage;Count,A1;Avg,A1;Min,A1;Max,A1;StdDev,A1;Count,A2;Avg,A2;Min,A2;Max,A2;StdDev,A2;Count,A3;Avg,A3;Min,A3;Max,A3;StdDev,A3;Count,A4;Avg,A4;Min,A4;Max,A4;StdDev,A4;Count,A5;Avg,A5;Min,A5;Max,A5;StdDev,A5;Count,A6;Avg,A6;Min,A6;Max,A6;StdDev,A6;Count,C1;Avg,C1;Min,C1;Max,C1;StdDev,C1;Count,D1;Avg,D1;Min,D1;Max,D1;StdDev,D1;Count,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T,addr
2015-04-01 00:00:00,0.0000,0.0000,0.0000,0.0000,60,151.3951,36.3098,60,97.9418,97.9614,97.9278,0.0074,60,24.6448,24.6525,24.6342,0.0035,60,1005.3648,1005.5971,1005.1943,0.1076,60,0.0000,0.0000,0.0000,0.0000,60,0.0000,0.0000,0.0000,0.0000,60,0.0002,0.0006,0.0000,0.0002,60,3.4227,3.4199,3.4266,0.0018,60,0.54645,0.54634,0.54653,0.00003,60,0.97942,0.97928,0.97961,0.00007,60,0.0002,0.0000,0.0006,0.0002,60,-0.000023,-0.000024,-0.000021,0.000001,60,-0.000021,-0.000024,-0.000018,0.000002,60,0.0000,0,0,0.0000,60,433,186,726,105,60,12.66,12.71,12.61,22,25,19,27,5576448
2015-04-01 00:01:00,0.0000,0.0000,0.0000,0.0000,60,127.4959,43.4231,60,97.9440,97.9553,97.9369,0.0048,60,24.6375,24.6495,24.6281,0.0045,60,1005.4207,1005.5788,1005.2126,0.0917,60,0.0000,0.0000,0.0000,0.0000,60,0.0000,0.0000,0.0000,0.0000,60,0.0002,0.0006,0.0000,0.0001,60,3.4237,3.4202,3.4263,0.0015,60,0.54637,0.54628,0.54649,0.00005,60,0.97944,0.97937,0.97955,0.00005,60,0.0002,0.0000,0.0006,0.0001,60,-0.000024,-0.000024,-0.000021,0.000001,60,-0.000021,-0.000024,-0.000018,0.000001,60,0.0000,0,0,0.0000,60,360,139,533,121,60,12.66,12.71,12.61,21,23,19,27,5576453
2015-04-01 00:02:00,0.0000,0.0000,0.0000,0.0000,60,132.1227,30.6492,60,97.9609,97.9888,97.9369,0.0172,60,24.6311,24.6403,24.6220,0.0050,60,1005.4100,1005.5971,1005.1943,0.0826,60,0.0000,0.0000,0.0000,0.0000,60,0.0000,0.0000,0.0000,0.0000,60,0.0002,0.0006,0.0000,0.0001,60,3.4235,3.4199,3.4266,0.0014,60,0.54631,0.54622,0.54640,0.00005,60,0.97961,0.97937,0.97989,0.00017,60,0.0002,0.0000,0.0006,0.0001,60,-0.000024,-0.000027,-0.000018,0.000001,60,-0.000021,-0.000024,-0.000018,0.000002,60,0.0000,0,0,0.0000,60,374,159,524,88,60,12.66,12.71,12.61,21,23,19,27,5576458
2015-04-01 00:03:00,0.0000,0.0000,0.0000,0.0000,60,135.3895,19.5237,60,98.0121,98.0285,97.9888,0.0105,60,24.6273,24.6342,24.6159,0.0036,60,1005.4311,1005.5788,1005.3774,0.0771,60,0.0000,0.0000,0.0000,0.0000,60,0.0000,0.0000,0.0000,0.0000,60,0.0002,0.0006,0.0000,0.0001,60,3.4239,3.4230,3.4263,0.0013,60,0.54627,0.54616,0.54634,0.00004,60,0.98012,0.97989,0.98029,0.00010,60,0.0002,0.0000,0.0006,0.0001,60,-0.000024,-0.000027,-0.000021,0.000001,60,-0.000021,-0.000024,-0.000018,0.000001,60,0.0000,0,0,0.0000,60,385,243,496,56,60,12.66,12.71,12.61,22,25,19,27,5576463
2015-04-01 00:04:00,0.0000,0.0000,0.0000,0.0000,60,130.1603,38.5890,60,98.0099,98.0193,97.9949,0.0054,60,24.6244,24.6373,24.6129,0.0044,60,1005.4228,1005.5971,1005.3591,0.0747,60,0.0000,0.0000,0.0000,0.0000,60,0.0000,0.0000,0.0000,0.0000,60,0.0002,0.0003,0.0000,0.0001,60,3.4237,3.4227,3.4266,0.0012,60,0.54624,0.54613,0.54637,0.00004,60,0.98010,0.97995,0.98019,0.00005,60,0.0002,0.0000,0.0003,0.0001,60,-0.000024,-0.000027,-0.000021,0.000001,60,-0.000022,-0.000024,-0.000018,0.000001,60,0.0000,0,0,0.0000,60,366,69,562,111,60,12.66,12.71,12.61,22,23,19,27,5576468
2015-04-01 00:05:00,0.0000,0.0000,0.0000,0.0000,60,129.1097,26.4019,60,98.0241,98.0407,98.0010,0.0075,60,24.6188,24.6312,24.6129,0.0041,60,1005.4125,1005.5788,1005.2126,0.0695,60,0.0000,0.0000,0.0000,0.0000,60,0.0000,0.0000,0.0000,0.0000,60,0.0003,0.0006,0.0000,0.0002,60,3.4235,3.4202,3.4263,0.0012,60,0.54619,0.54613,0.54631,0.00004,60,0.98024,0.98001,0.98041,0.00008,60,0.0003,0.0000,0.0006,0.0002,60,-0.000024,-0.000024,-0.000021,0.000001,60,-0.000021,-0.000024,-0.000018,0.000001,60,0.0000,0,0,0.0000,60,367,141,581,77,60,12.66,12.71,12.61,22,25,19,27,5576473
2015-04-01 00:06:00,0.0000,0.0000,0.0000,0.0000,60,132.9135,49.2611,60,98.0290,98.0468,98.0163,0.0079,60,24.6135,24.6220,24.6068,0.0039,60,1005.4799,1005.5971,1005.3774,0.0939,60,0.0000,0.0000,0.0000,0.0000,60,0.0000,0.0000,0.0000,0.0000,60,0.0002,0.0006,0.0000,0.0001,60,3.4247,3.4230,3.4266,0.0016,60,0.54614,0.54607,0.54622,0.00004,60,0.98029,0.98016,0.98047,0.00008,60,0.0002,0.0000,0.0006,0.0001,60,-0.000024,-0.000024,-0.000021,0.000001,60,-0.000021,-0.000024,-0.000018,0.000001,60,0.0000,0,0,0.0000,60,408,219,1017,161,60,12.66,12.71,12.61,22,23,19,27,5576479
2015-04-01 00:07:00,0.0000,0.0000,0.0000,0.0000,60,132.2127,29.1884,60,98.0525,98.0773,98.0346,0.0079,60,24.6105,24.6190,24.6007,0.0042,60,1005.5324,1005.5971,1005.3774,0.0832,60,0.0000,0.0000,0.0000,0.0000,60,0.0000,0.0000,0.0000,0.0000,60,0.0002,0.0006,0.0000,0.0002,60,3.4255,3.4230,3.4266,0.0014,60,0.54610,0.54601,0.54619,0.00004,60,0.98053,0.98035,0.98077,0.00008,60,0.0002,0.0000,0.0006,0.0002,60,-0.000024,-0.000027,-0.000021,0.000001,60,-0.000021,-0.000024,-0.000018,0.000001,60,0.0000,0,0,0.0000,60,377,237,542,83,60,12.66,12.71,12.61,22,25,19,27,5576484
2015-04-01 00:08:00,0.0000,0.0000,0.0000,0.0000,60,127.8119,40.8106,60,98.0920,98.1170,98.0682,0.0138,60,24.6047,24.6220,24.5976,0.0048,60,1005.5431,1005.7436,1005.3774,0.0815,60,0.0000,0.0000,0.0000,0.0000,60,0.0000,0.0000,0.0000,0.0000,60,0.0002,0.0006,0.0000,0.0001,60,3.4257,3.4230,3.4291,0.0014,60,0.54605,0.54598,0.54622,0.00005,60,0.98092,0.98068,0.98117,0.00014,60,0.0002,0.0000,0.0006,0.0001,60,-0.000023,-0.000027,-0.000021,0.000002,60,-0.000021,-0.000024,-0.000018,0.000001,60,0.0000,0,0,0.0000,60,372,176,701,119,60,12.66,12.71,12.61,22,23,19,27,5576489
2015-04-01 00:09:00,0.0000,0.0000,0.0000,0.0000,60,111.7779,44.9887,60,98.1028,98.1140,98.0926,0.0048,60,24.6009,24.6098,24.5915,0.0041,60,1005.5458,1005.5971,1005.3774,0.0640,60,0.0000,0.0000,0.0000,0.0000,60,0.0000,0.0000,0.0000,0.0000,60,0.0002,0.0006,0.0000,0.0001,60,3.4258,3.4230,3.4266,0.0011,60,0.54601,0.54592,0.54610,0.00004,60,0.98103,0.98093,0.98114,0.00005,60,0.0002,0.0000,0.0006,0.0001,60,-0.000024,-0.000024,-0.000021,0.000001,60,-0.000022,-0.000024,-0.000021,0.000001,60,0.0000,0,0,0.0000,60,325,115,601,128,60,12.66,12.71,12.61,21,23,19,27,5576494
